neighbourhood,crime_type,year,count
Grandview-Woodland,Theft from Vehicle,2023,306
Grandview-Woodland,Theft from Vehicle,2024,235
Grandview-Woodland,Theft from Vehicle,2025,102
Grandview-Woodland,Theft of Bicycle,2003,87
Grandview-Woodland,Theft of Bicycle,2004,62
Grandview-Woodland,Theft of Bicycle,2005,75
Grandview-Woodland,Theft of Bicycle,2006,81
Grandview-Woodland,Theft of Bicycle,2007,67
Grandview-Woodland,Theft of Bicycle,2008,90
Grandview-Woodland,Theft of Bicycle,2009,71
Grandview-Woodland,Theft of Bicycle,2010,84
Grandview-Woodland,Theft of Bicycle,2011,88
Grandview-Woodland,Theft of Bicycle,2012,68
Grandview-Woodland,Theft of Bicycle,2013,130
Grandview-Woodland,Theft of Bicycle,2014,145
Grandview-Woodland,Theft of Bicycle,2015,122
Grandview-Woodland,Theft of Bicycle,2016,168
Grandview-Woodland,Theft of Bicycle,2017,123
Grandview-Woodland,Theft of Bicycle,2018,110
Grandview-Woodland,Theft of Bicycle,2019,133
Grandview-Woodland,Theft of Bicycle,2020,105
Grandview-Woodland,Theft of Bicycle,2021,79
Grandview-Woodland,Theft of Bicycle,2022,52
Grandview-Woodland,Theft of Bicycle,2023,53
Grandview-Woodland,Theft of Bicycle,2024,38
Grandview-Woodland,Theft of Bicycle,2025,24
Grandview-Woodland,Theft of Vehicle,2003,561
Grandview-Woodland,Theft of Vehicle,2004,514
Grandview-Woodland,Theft of Vehicle,2005,388
Grandview-Woodland,Theft of Vehicle,2006,250
Grandview-Woodland,Theft of Vehicle,2007,264
Grandview-Woodland,Theft of Vehicle,2008,154
Grandview-Woodland,Theft of Vehicle,2009,144
Grandview-Woodland,Theft of Vehicle,2010,131
Grandview-Woodland,Theft of Vehicle,2011,94
Grandview-Woodland,Theft of Vehicle,2012,98
Grandview-Woodland,Theft of Vehicle,2013,114
Grandview-Woodland,Theft of Vehicle,2014,92
Grandview-Woodland,Theft of Vehicle,2015,135
Grandview-Woodland,Theft of Vehicle,2016,112
Grandview-Woodland,Theft of Vehicle,2017,150
Grandview-Woodland,Theft of Vehicle,2018,123
Grandview-Woodland,Theft of Vehicle,2019,123
Grandview-Woodland,Theft of Vehicle,2020,85
Grandview-Woodland,Theft of Vehicle,2021,57
Grandview-Woodland,Theft of Vehicle,2022,68
Grandview-Woodland,Theft of Vehicle,2023,73
Grandview-Woodland,Theft of Vehicle,2024,60
Grandview-Woodland,Theft of Vehicle,2025,31
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2003,1
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2004,2
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2005,2
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2006,2
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2007,1
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2008,1
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2009,3
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2013,2
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2015,1
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2018,1
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2019,1
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2022,2
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2023,1
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Fatality),2024,2
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2003,17
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2004,10
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2005,13
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2006,14
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2007,9
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2008,9
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2009,10
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2010,11
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2011,11
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2012,19
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2013,17
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2014,87
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2015,111
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2016,101
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2017,74
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2018,65
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2019,50
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2020,38
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2021,46
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2022,37
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2023,74
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2024,52
Grandview-Woodland,Vehicle Collision or Pedestrian Struck (with Injury),2025,23
Hastings-Sunrise,Break and Enter Commercial,2003,179
Hastings-Sunrise,Break and Enter Commercial,2004,105
Hastings-Sunrise,Break and Enter Commercial,2005,68
Hastings-Sunrise,Break and Enter Commercial,2006,120
Hastings-Sunrise,Break and Enter Commercial,2007,61
Hastings-Sunrise,Break and Enter Commercial,2008,60
Hastings-Sunrise,Break and Enter Commercial,2009,41
Hastings-Sunrise,Break and Enter Commercial,2010,18
Hastings-Sunrise,Break and Enter Commercial,2011,40
Hastings-Sunrise,Break and Enter Commercial,2012,59
Hastings-Sunrise,Break and Enter Commercial,2013,40
Hastings-Sunrise,Break and Enter Commercial,2014,33
Hastings-Sunrise,Break and Enter Commercial,2015,49
Hastings-Sunrise,Break and Enter Commercial,2016,36
Hastings-Sunrise,Break and Enter Commercial,2017,41
Hastings-Sunrise,Break and Enter Commercial,2018,48
Hastings-Sunrise,Break and Enter Commercial,2019,46
Hastings-Sunrise,Break and Enter Commercial,2020,59
Hastings-Sunrise,Break and Enter Commercial,2021,41
Hastings-Sunrise,Break and Enter Commercial,2022,63
Hastings-Sunrise,Break and Enter Commercial,2023,48
Hastings-Sunrise,Break and Enter Commercial,2024,44
Hastings-Sunrise,Break and Enter Commercial,2025,30
Hastings-Sunrise,Break and Enter Residential/Other,2003,344
Hastings-Sunrise,Break and Enter Residential/Other,2004,335
Hastings-Sunrise,Break and Enter Residential/Other,2005,234
Hastings-Sunrise,Break and Enter Residential/Other,2006,281
Hastings-Sunrise,Break and Enter Residential/Other,2007,259
Hastings-Sunrise,Break and Enter Residential/Other,2008,211
Hastings-Sunrise,Break and Enter Residential/Other,2009,239
Hastings-Sunrise,Break and Enter Residential/Other,2010,216
Hastings-Sunrise,Break and Enter Residential/Other,2011,220
Hastings-Sunrise,Break and Enter Residential/Other,2012,183
Hastings-Sunrise,Break and Enter Residential/Other,2013,119
Hastings-Sunrise,Break and Enter Residential/Other,2014,119
Hastings-Sunrise,Break and Enter Residential/Other,2015,158
Hastings-Sunrise,Break and Enter Residential/Other,2016,201
Hastings-Sunrise,Break and Enter Residential/Other,2017,145
Hastings-Sunrise,Break and Enter Residential/Other,2018,115
Hastings-Sunrise,Break and Enter Residential/Other,2019,152
Hastings-Sunrise,Break and Enter Residential/Other,2020,111
Hastings-Sunrise,Break and Enter Residential/Other,2021,94
Hastings-Sunrise,Break and Enter Residential/Other,2022,64
Hastings-Sunrise,Break and Enter Residential/Other,2023,68
Hastings-Sunrise,Break and Enter Residential/Other,2024,55
Hastings-Sunrise,Break and Enter Residential/Other,2025,24
Hastings-Sunrise,Homicide,2004,2
Hastings-Sunrise,Homicide,2005,1
Hastings-Sunrise,Homicide,2006,1
Hastings-Sunrise,Homicide,2007,1
Hastings-Sunrise,Homicide,2009,3
Hastings-Sunrise,Homicide,2010,1
Hastings-Sunrise,Homicide,2012,2
Hastings-Sunrise,Homicide,2018,2
Hastings-Sunrise,Homicide,2020,1
Hastings-Sunrise,Homicide,2022,2
Hastings-Sunrise,Homicide,2023,1
Hastings-Sunrise,Homicide,2025,1
Hastings-Sunrise,Mischief,2003,258
Hastings-Sunrise,Mischief,2004,266
Hastings-Sunrise,Mischief,2005,224
Hastings-Sunrise,Mischief,2006,208
Hastings-Sunrise,Mischief,2007,188
Hastings-Sunrise,Mischief,2008,266
Hastings-Sunrise,Mischief,2009,224
Hastings-Sunrise,Mischief,2010,189
Hastings-Sunrise,Mischief,2011,181
Hastings-Sunrise,Mischief,2012,163
Hastings-Sunrise,Mischief,2013,158
Hastings-Sunrise,Mischief,2014,153
Hastings-Sunrise,Mischief,2015,169
Hastings-Sunrise,Mischief,2016,179
Hastings-Sunrise,Mischief,2017,178
Hastings-Sunrise,Mischief,2018,195
Hastings-Sunrise,Mischief,2019,234
Hastings-Sunrise,Mischief,2020,240
Hastings-Sunrise,Mischief,2021,227
Hastings-Sunrise,Mischief,2022,170
Hastings-Sunrise,Mischief,2023,187
Hastings-Sunrise,Mischief,2024,160
Hastings-Sunrise,Mischief,2025,70
Hastings-Sunrise,Offence Against a Person,2003,128
Hastings-Sunrise,Offence Against a Person,2004,123
Hastings-Sunrise,Offence Against a Person,2005,120
Hastings-Sunrise,Offence Against a Person,2006,145
Hastings-Sunrise,Offence Against a Person,2007,122
Hastings-Sunrise,Offence Against a Person,2008,107
Hastings-Sunrise,Offence Against a Person,2009,132
Hastings-Sunrise,Offence Against a Person,2010,120
Hastings-Sunrise,Offence Against a Person,2011,111
Hastings-Sunrise,Offence Against a Person,2012,122
Hastings-Sunrise,Offence Against a Person,2013,128
Hastings-Sunrise,Offence Against a Person,2014,87
Hastings-Sunrise,Offence Against a Person,2015,91
Hastings-Sunrise,Offence Against a Person,2016,90
Hastings-Sunrise,Offence Against a Person,2017,87
Hastings-Sunrise,Offence Against a Person,2018,93
Hastings-Sunrise,Offence Against a Person,2019,89
Hastings-Sunrise,Offence Against a Person,2020,99
Hastings-Sunrise,Offence Against a Person,2021,94
Hastings-Sunrise,Offence Against a Person,2022,105
Hastings-Sunrise,Offence Against a Person,2023,96
Hastings-Sunrise,Offence Against a Person,2024,81
Hastings-Sunrise,Offence Against a Person,2025,47
Hastings-Sunrise,Other Theft,2003,313
Hastings-Sunrise,Other Theft,2004,302
Hastings-Sunrise,Other Theft,2005,307
Hastings-Sunrise,Other Theft,2006,300
Hastings-Sunrise,Other Theft,2007,264
Hastings-Sunrise,Other Theft,2008,236
Hastings-Sunrise,Other Theft,2009,224
Hastings-Sunrise,Other Theft,2010,215
Hastings-Sunrise,Other Theft,2011,262
Hastings-Sunrise,Other Theft,2012,293
Hastings-Sunrise,Other Theft,2013,244
Hastings-Sunrise,Other Theft,2014,247
Hastings-Sunrise,Other Theft,2015,208
Hastings-Sunrise,Other Theft,2016,232
Hastings-Sunrise,Other Theft,2017,246
Hastings-Sunrise,Other Theft,2018,253
Hastings-Sunrise,Other Theft,2019,210
Hastings-Sunrise,Other Theft,2020,192
Hastings-Sunrise,Other Theft,2021,185
Hastings-Sunrise,Other Theft,2022,166
Hastings-Sunrise,Other Theft,2023,164
Hastings-Sunrise,Other Theft,2024,223
Hastings-Sunrise,Other Theft,2025,148
Hastings-Sunrise,Theft from Vehicle,2003,505
Hastings-Sunrise,Theft from Vehicle,2004,602
Hastings-Sunrise,Theft from Vehicle,2005,494
Hastings-Sunrise,Theft from Vehicle,2006,455
Hastings-Sunrise,Theft from Vehicle,2007,370
Hastings-Sunrise,Theft from Vehicle,2008,346
Hastings-Sunrise,Theft from Vehicle,2009,280
Hastings-Sunrise,Theft from Vehicle,2010,300
Hastings-Sunrise,Theft from Vehicle,2011,300
Hastings-Sunrise,Theft from Vehicle,2012,326
Hastings-Sunrise,Theft from Vehicle,2013,251
Hastings-Sunrise,Theft from Vehicle,2014,368
Hastings-Sunrise,Theft from Vehicle,2015,418
Hastings-Sunrise,Theft from Vehicle,2016,434
Hastings-Sunrise,Theft from Vehicle,2017,464
Hastings-Sunrise,Theft from Vehicle,2018,607
Hastings-Sunrise,Theft from Vehicle,2019,667
Hastings-Sunrise,Theft from Vehicle,2020,456
Hastings-Sunrise,Theft from Vehicle,2021,386
Hastings-Sunrise,Theft from Vehicle,2022,260
Hastings-Sunrise,Theft from Vehicle,2023,267
Hastings-Sunrise,Theft from Vehicle,2024,196
Hastings-Sunrise,Theft from Vehicle,2025,109
Hastings-Sunrise,Theft of Bicycle,2003,22
Hastings-Sunrise,Theft of Bicycle,2004,7
Hastings-Sunrise,Theft of Bicycle,2005,25
Hastings-Sunrise,Theft of Bicycle,2006,11
Hastings-Sunrise,Theft of Bicycle,2007,19
Hastings-Sunrise,Theft of Bicycle,2008,20
Hastings-Sunrise,Theft of Bicycle,2009,25
Hastings-Sunrise,Theft of Bicycle,2010,13
Hastings-Sunrise,Theft of Bicycle,2011,18
Hastings-Sunrise,Theft of Bicycle,2012,20
Hastings-Sunrise,Theft of Bicycle,2013,19
Hastings-Sunrise,Theft of Bicycle,2014,22
Hastings-Sunrise,Theft of Bicycle,2015,31
Hastings-Sunrise,Theft of Bicycle,2016,45
Hastings-Sunrise,Theft of Bicycle,2017,57
Hastings-Sunrise,Theft of Bicycle,2018,52
Hastings-Sunrise,Theft of Bicycle,2019,71
Hastings-Sunrise,Theft of Bicycle,2020,33
Hastings-Sunrise,Theft of Bicycle,2021,35
Hastings-Sunrise,Theft of Bicycle,2022,25
Hastings-Sunrise,Theft of Bicycle,2023,10
Hastings-Sunrise,Theft of Bicycle,2024,16
Hastings-Sunrise,Theft of Bicycle,2025,12
Hastings-Sunrise,Theft of Vehicle,2003,385
Hastings-Sunrise,Theft of Vehicle,2004,432
Hastings-Sunrise,Theft of Vehicle,2005,294
Hastings-Sunrise,Theft of Vehicle,2006,260
Hastings-Sunrise,Theft of Vehicle,2007,209
Hastings-Sunrise,Theft of Vehicle,2008,133
Hastings-Sunrise,Theft of Vehicle,2009,120
Hastings-Sunrise,Theft of Vehicle,2010,92
Hastings-Sunrise,Theft of Vehicle,2011,94
Hastings-Sunrise,Theft of Vehicle,2012,81
Hastings-Sunrise,Theft of Vehicle,2013,65
Hastings-Sunrise,Theft of Vehicle,2014,62
Hastings-Sunrise,Theft of Vehicle,2015,78
Hastings-Sunrise,Theft of Vehicle,2016,74
Hastings-Sunrise,Theft of Vehicle,2017,140
Hastings-Sunrise,Theft of Vehicle,2018,74
Hastings-Sunrise,Theft of Vehicle,2019,86
Hastings-Sunrise,Theft of Vehicle,2020,54
Hastings-Sunrise,Theft of Vehicle,2021,56
Hastings-Sunrise,Theft of Vehicle,2022,49
Hastings-Sunrise,Theft of Vehicle,2023,52
Hastings-Sunrise,Theft of Vehicle,2024,28
Hastings-Sunrise,Theft of Vehicle,2025,18
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2003,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2005,3
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2006,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2007,2
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2008,2
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2009,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2010,2
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2011,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2012,3
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2013,2
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2014,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2016,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2021,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2022,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Fatality),2023,1
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2003,15
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2004,18
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2005,19
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2006,18
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2007,10
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2008,8
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2009,12
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2010,12
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2011,15
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2012,27
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2013,22
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2014,84
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2015,90
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2016,102
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2017,80
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2018,70
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2019,67
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2020,40
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2021,55
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2022,53
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2023,53
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2024,42
Hastings-Sunrise,Vehicle Collision or Pedestrian Struck (with Injury),2025,20
Kensington-Cedar Cottage,Break and Enter Commercial,2003,132
Kensington-Cedar Cottage,Break and Enter Commercial,2004,124
Kensington-Cedar Cottage,Break and Enter Commercial,2005,121
Kensington-Cedar Cottage,Break and Enter Commercial,2006,160
Kensington-Cedar Cottage,Break and Enter Commercial,2007,87
Kensington-Cedar Cottage,Break and Enter Commercial,2008,71
Kensington-Cedar Cottage,Break and Enter Commercial,2009,56
Kensington-Cedar Cottage,Break and Enter Commercial,2010,44
Kensington-Cedar Cottage,Break and Enter Commercial,2011,56
Kensington-Cedar Cottage,Break and Enter Commercial,2012,66
Kensington-Cedar Cottage,Break and Enter Commercial,2013,106
Kensington-Cedar Cottage,Break and Enter Commercial,2014,86
Kensington-Cedar Cottage,Break and Enter Commercial,2015,56
Kensington-Cedar Cottage,Break and Enter Commercial,2016,74
Kensington-Cedar Cottage,Break and Enter Commercial,2017,72
Kensington-Cedar Cottage,Break and Enter Commercial,2018,62
Kensington-Cedar Cottage,Break and Enter Commercial,2019,71
Kensington-Cedar Cottage,Break and Enter Commercial,2020,71
Kensington-Cedar Cottage,Break and Enter Commercial,2021,60
Kensington-Cedar Cottage,Break and Enter Commercial,2022,77
Kensington-Cedar Cottage,Break and Enter Commercial,2023,83
Kensington-Cedar Cottage,Break and Enter Commercial,2024,50
Kensington-Cedar Cottage,Break and Enter Commercial,2025,26
Kensington-Cedar Cottage,Break and Enter Residential/Other,2003,418
Kensington-Cedar Cottage,Break and Enter Residential/Other,2004,448
Kensington-Cedar Cottage,Break and Enter Residential/Other,2005,375
Kensington-Cedar Cottage,Break and Enter Residential/Other,2006,351
Kensington-Cedar Cottage,Break and Enter Residential/Other,2007,322
Kensington-Cedar Cottage,Break and Enter Residential/Other,2008,307
Kensington-Cedar Cottage,Break and Enter Residential/Other,2009,229
Kensington-Cedar Cottage,Break and Enter Residential/Other,2010,239
Kensington-Cedar Cottage,Break and Enter Residential/Other,2011,236
Kensington-Cedar Cottage,Break and Enter Residential/Other,2012,209
Kensington-Cedar Cottage,Break and Enter Residential/Other,2013,225
Kensington-Cedar Cottage,Break and Enter Residential/Other,2014,241
Kensington-Cedar Cottage,Break and Enter Residential/Other,2015,233
Kensington-Cedar Cottage,Break and Enter Residential/Other,2016,234
Kensington-Cedar Cottage,Break and Enter Residential/Other,2017,138
Kensington-Cedar Cottage,Break and Enter Residential/Other,2018,144
Kensington-Cedar Cottage,Break and Enter Residential/Other,2019,138
Kensington-Cedar Cottage,Break and Enter Residential/Other,2020,128
Kensington-Cedar Cottage,Break and Enter Residential/Other,2021,98
Kensington-Cedar Cottage,Break and Enter Residential/Other,2022,68
Kensington-Cedar Cottage,Break and Enter Residential/Other,2023,95
Kensington-Cedar Cottage,Break and Enter Residential/Other,2024,68
Kensington-Cedar Cottage,Break and Enter Residential/Other,2025,19
Kensington-Cedar Cottage,Homicide,2003,3
Kensington-Cedar Cottage,Homicide,2004,1
Kensington-Cedar Cottage,Homicide,2005,2
Kensington-Cedar Cottage,Homicide,2006,1
Kensington-Cedar Cottage,Homicide,2007,1
Kensington-Cedar Cottage,Homicide,2008,3
Kensington-Cedar Cottage,Homicide,2009,2
Kensington-Cedar Cottage,Homicide,2010,3
Kensington-Cedar Cottage,Homicide,2014,1
Kensington-Cedar Cottage,Homicide,2015,1
Kensington-Cedar Cottage,Homicide,2017,1
Kensington-Cedar Cottage,Homicide,2018,1
Kensington-Cedar Cottage,Homicide,2020,1
Kensington-Cedar Cottage,Homicide,2023,1
Kensington-Cedar Cottage,Homicide,2024,1
Kensington-Cedar Cottage,Mischief,2003,366
Kensington-Cedar Cottage,Mischief,2004,309
Kensington-Cedar Cottage,Mischief,2005,244
Kensington-Cedar Cottage,Mischief,2006,264
Kensington-Cedar Cottage,Mischief,2007,296
Kensington-Cedar Cottage,Mischief,2008,265
Kensington-Cedar Cottage,Mischief,2009,254
Kensington-Cedar Cottage,Mischief,2010,267
Kensington-Cedar Cottage,Mischief,2011,254
Kensington-Cedar Cottage,Mischief,2012,237
Kensington-Cedar Cottage,Mischief,2013,234
Kensington-Cedar Cottage,Mischief,2014,233
Kensington-Cedar Cottage,Mischief,2015,193
Kensington-Cedar Cottage,Mischief,2016,219
Kensington-Cedar Cottage,Mischief,2017,256
Kensington-Cedar Cottage,Mischief,2018,251
Kensington-Cedar Cottage,Mischief,2019,289
Kensington-Cedar Cottage,Mischief,2020,244
Kensington-Cedar Cottage,Mischief,2021,239
Kensington-Cedar Cottage,Mischief,2022,261
Kensington-Cedar Cottage,Mischief,2023,271
Kensington-Cedar Cottage,Mischief,2024,228
Kensington-Cedar Cottage,Mischief,2025,139
Kensington-Cedar Cottage,Offence Against a Person,2003,200
Kensington-Cedar Cottage,Offence Against a Person,2004,253
Kensington-Cedar Cottage,Offence Against a Person,2005,246
Kensington-Cedar Cottage,Offence Against a Person,2006,255
Kensington-Cedar Cottage,Offence Against a Person,2007,230
Kensington-Cedar Cottage,Offence Against a Person,2008,246
Kensington-Cedar Cottage,Offence Against a Person,2009,195
Kensington-Cedar Cottage,Offence Against a Person,2010,175
Kensington-Cedar Cottage,Offence Against a Person,2011,173
Kensington-Cedar Cottage,Offence Against a Person,2012,170
Kensington-Cedar Cottage,Offence Against a Person,2013,176
Kensington-Cedar Cottage,Offence Against a Person,2014,152
Kensington-Cedar Cottage,Offence Against a Person,2015,144
Kensington-Cedar Cottage,Offence Against a Person,2016,119
Kensington-Cedar Cottage,Offence Against a Person,2017,129
Kensington-Cedar Cottage,Offence Against a Person,2018,113
Kensington-Cedar Cottage,Offence Against a Person,2019,128
Kensington-Cedar Cottage,Offence Against a Person,2020,126
Kensington-Cedar Cottage,Offence Against a Person,2021,124
Kensington-Cedar Cottage,Offence Against a Person,2022,141
Kensington-Cedar Cottage,Offence Against a Person,2023,145
Kensington-Cedar Cottage,Offence Against a Person,2024,148
Kensington-Cedar Cottage,Offence Against a Person,2025,70
Kensington-Cedar Cottage,Other Theft,2003,463
Kensington-Cedar Cottage,Other Theft,2004,499
Kensington-Cedar Cottage,Other Theft,2005,460
Kensington-Cedar Cottage,Other Theft,2006,528
Kensington-Cedar Cottage,Other Theft,2007,467
Kensington-Cedar Cottage,Other Theft,2008,466
Kensington-Cedar Cottage,Other Theft,2009,417
Kensington-Cedar Cottage,Other Theft,2010,374
Kensington-Cedar Cottage,Other Theft,2011,359
Kensington-Cedar Cottage,Other Theft,2012,386
Kensington-Cedar Cottage,Other Theft,2013,485
Kensington-Cedar Cottage,Other Theft,2014,482
Kensington-Cedar Cottage,Other Theft,2015,412
Kensington-Cedar Cottage,Other Theft,2016,422
Kensington-Cedar Cottage,Other Theft,2017,359
Kensington-Cedar Cottage,Other Theft,2018,347
Kensington-Cedar Cottage,Other Theft,2019,388
Kensington-Cedar Cottage,Other Theft,2020,435
Kensington-Cedar Cottage,Other Theft,2021,350
Kensington-Cedar Cottage,Other Theft,2022,384
Kensington-Cedar Cottage,Other Theft,2023,451
Kensington-Cedar Cottage,Other Theft,2024,462
Kensington-Cedar Cottage,Other Theft,2025,301
Kensington-Cedar Cottage,Theft from Vehicle,2003,569
Kensington-Cedar Cottage,Theft from Vehicle,2004,823
Kensington-Cedar Cottage,Theft from Vehicle,2005,671
Kensington-Cedar Cottage,Theft from Vehicle,2006,607
Kensington-Cedar Cottage,Theft from Vehicle,2007,442
Kensington-Cedar Cottage,Theft from Vehicle,2008,403
Kensington-Cedar Cottage,Theft from Vehicle,2009,433
Kensington-Cedar Cottage,Theft from Vehicle,2010,518
Kensington-Cedar Cottage,Theft from Vehicle,2011,391
Kensington-Cedar Cottage,Theft from Vehicle,2012,337
Kensington-Cedar Cottage,Theft from Vehicle,2013,515
Kensington-Cedar Cottage,Theft from Vehicle,2014,536
Kensington-Cedar Cottage,Theft from Vehicle,2015,485
Kensington-Cedar Cottage,Theft from Vehicle,2016,542
Kensington-Cedar Cottage,Theft from Vehicle,2017,454
Kensington-Cedar Cottage,Theft from Vehicle,2018,540
Kensington-Cedar Cottage,Theft from Vehicle,2019,668
Kensington-Cedar Cottage,Theft from Vehicle,2020,445
Kensington-Cedar Cottage,Theft from Vehicle,2021,403
Kensington-Cedar Cottage,Theft from Vehicle,2022,332
Kensington-Cedar Cottage,Theft from Vehicle,2023,427
Kensington-Cedar Cottage,Theft from Vehicle,2024,277
Kensington-Cedar Cottage,Theft from Vehicle,2025,156
Kensington-Cedar Cottage,Theft of Bicycle,2003,24
Kensington-Cedar Cottage,Theft of Bicycle,2004,44
Kensington-Cedar Cottage,Theft of Bicycle,2005,34
Kensington-Cedar Cottage,Theft of Bicycle,2006,39
Kensington-Cedar Cottage,Theft of Bicycle,2007,33
Kensington-Cedar Cottage,Theft of Bicycle,2008,41
Kensington-Cedar Cottage,Theft of Bicycle,2009,66
Kensington-Cedar Cottage,Theft of Bicycle,2010,55
Kensington-Cedar Cottage,Theft of Bicycle,2011,44
Kensington-Cedar Cottage,Theft of Bicycle,2012,58
Kensington-Cedar Cottage,Theft of Bicycle,2013,95
Kensington-Cedar Cottage,Theft of Bicycle,2014,89
Kensington-Cedar Cottage,Theft of Bicycle,2015,103
Kensington-Cedar Cottage,Theft of Bicycle,2016,89
Kensington-Cedar Cottage,Theft of Bicycle,2017,88
Kensington-Cedar Cottage,Theft of Bicycle,2018,69
Kensington-Cedar Cottage,Theft of Bicycle,2019,90
Kensington-Cedar Cottage,Theft of Bicycle,2020,104
Kensington-Cedar Cottage,Theft of Bicycle,2021,59
Kensington-Cedar Cottage,Theft of Bicycle,2022,50
Kensington-Cedar Cottage,Theft of Bicycle,2023,48
Kensington-Cedar Cottage,Theft of Bicycle,2024,41
